,Timestamp,Amount,Account Type,Bank,LFD,Category,Place,Account,DR_CR
39,2021-04-08 22:36:00,34903,CREDIT,ICICI,7008,SHOPPING,FLIPKART,CREDIT-ICICI-7008,DR
40,2020-10-29 17:18:00,34525,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
41,2022-12-02 08:24:00,34482,BANK,ICICI,6838,BILLS,CRED,BANK-ICICI-6838,DR
42,2021-01-29 19:10:00,33425,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
43,2021-06-30 10:43:00,33265,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
44,2023-02-05 13:00:00,32367,BANK,ICICI,6838,BILLS,CRED,BANK-ICICI-6838,DR
45,2023-02-05 13:24:00,32367,CREDIT,ICICI,7008,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-ICICI-7008,CR
46,2020-09-30 08:06:00,32305,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
47,2023-01-05 10:06:00,31839,CREDIT,ICICI,7008,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-ICICI-7008,CR
48,2021-06-20 11:09:00,31664,CREDIT,ICICI,5001,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-ICICI-5001,CR
49,2022-11-01 16:27:00,31303,CREDIT,AXIS,6891,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-AXIS-6891,CR
50,2022-10-31 14:28:00,31303,BANK,ICICI,6838,BILLS,CREDCLUB1,BANK-ICICI-6838,DR
51,2022-12-08 14:46:00,31297,BANK,ICICI,6838,BILLS,CRED,BANK-ICICI-6838,DR
52,2019-07-13 14:59:00,30888,BANK,AXIS,7057,SHOPPING,RELIANCE TRENDS,BANK-AXIS-7057,DR
53,2021-05-05 13:03:00,30885,CREDIT,ICICI,5001,REFUND,AMAZON,CREDIT-ICICI-5001,CR
54,2021-04-30 11:05:00,30825,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
55,2021-05-30 17:52:00,30499,CREDIT,ICICI,5001,SHOPPING,AMAZON,CREDIT-ICICI-5001,DR
56,2023-01-02 07:44:00,30165,BANK,AXIS,7057,CREDIT,CREDIT,BANK-AXIS-7057,CR
57,2019-07-22 16:26:00,30000,BANK,AXIS,7057,CREDIT,CREDIT,BANK-AXIS-7057,CR
58,2021-05-25 12:11:00,30000,BANK,AXIS,7057,CREDIT,CREDIT,BANK-AXIS-7057,CR
59,2021-07-29 20:57:00,29999,WALLET,AMAZON,8676,MISC,AMAZON PAY,WALLET-AMAZON-8676,DR
60,2021-05-31 09:03:00,29625,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
61,2020-07-31 15:06:00,29511,BANK,ICICI,6838,SALARY,FISERV,BANK-ICICI-6838,CR
62,2019-11-29 12:07:00,28230,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
63,2020-11-27 14:32:00,28025,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
64,2022-05-09 04:56:00,27429,CREDIT,AXIS,6891,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-AXIS-6891,CR
65,2022-05-08 20:49:00,27429,BANK,ICICI,6838,BILLS,CRED,BANK-ICICI-6838,DR
66,2020-08-31 08:02:00,27025,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
67,2022-09-03 16:30:00,26946,CREDIT,AXIS,6891,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-AXIS-6891,CR
68,2022-09-03 16:29:00,26943,BANK,ICICI,6838,BILLS,CRED,BANK-ICICI-6838,DR
69,2020-12-02 16:04:00,26761,BANK,ICICI,6838,MISC,E-GMAT CO,BANK-ICICI-6838,DR
70,2021-09-08 09:34:00,26686,CREDIT,AXIS,2232,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-AXIS-2232,CR
71,2022-09-03 19:46:00,26000,BANK,PAYTM,7775,CREDIT,ARCHNA SIROHI,BANK-PAYTM-7775,CR
72,2022-10-11 19:16:00,25719,CREDIT,AXIS,6891,TRAVEL,AIRBNB PAYM,CREDIT-AXIS-6891,DR
73,2022-08-19 12:16:00,25560,BANK,ICICI,6838,CREDIT,CREDIT,BANK-ICICI-6838,CR
74,2022-10-06 22:19:00,25482,BANK,AXIS,7057,BILLS,CRED,BANK-AXIS-7057,DR
75,2022-10-06 22:20:00,25482,CREDIT,AXIS,6891,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-AXIS-6891,CR
76,2019-04-17 13:19:00,25336,BANK,AXIS,7057,REFUND,ATM REVERSAL,BANK-AXIS-7057,CR
77,2022-03-07 20:29:00,25041,CREDIT,AXIS,6891,INVESTMENT,SAMSUNG EST,CREDIT-AXIS-6891,DR
78,2021-02-22 14:49:00,25000,BANK,AXIS,7057,CREDIT,CREDIT,BANK-AXIS-7057,CR
79,2021-06-28 11:36:00,25000,BANK,AXIS,7057,CREDIT,XXXPGN KO,BANK-AXIS-7057,CR
80,2022-05-25 11:52:00,25000,BANK,AXIS,7057,CREDIT,CREDIT,BANK-AXIS-7057,CR
81,2022-06-22 16:34:00,25000,BANK,AXIS,7057,INVESTMENT,UPGRAD85275,BANK-AXIS-7057,DR
82,2019-04-17 13:02:00,25000,BANK,AXIS,7057,CREDIT,MANISH KUMAR GOYAL,BANK-AXIS-7057,CR
83,2019-12-04 18:20:00,25000,BANK,AXIS,7057,CREDIT,ASHWIN SA,BANK-AXIS-7057,CR
84,2022-07-30 20:59:00,25000,BANK,ICICI,6838,CREDIT,ANUJ TYAGI,BANK-ICICI-6838,CR
85,2021-06-28 11:52:00,24999,CREDIT,AXIS,2232,SHOPPING,WWW ONEPLUS,CREDIT-AXIS-2232,DR
86,2020-01-31 08:32:00,24030,BANK,ICICI,6838,SALARY,FISERV,BANK-ICICI-6838,CR
87,2020-06-30 08:06:00,23830,BANK,ICICI,6838,SALARY,FISERV,BANK-ICICI-6838,CR
88,2022-07-03 12:34:00,23279,CREDIT,AXIS,6891,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-AXIS-6891,CR
89,2022-07-03 10:45:00,23279,BANK,ICICI,6838,BILLS,CREDCLUB1,BANK-ICICI-6838,DR
90,2020-02-28 15:31:00,23230,BANK,ICICI,6838,SALARY,FISERV,BANK-ICICI-6838,CR
91,2020-03-31 08:31:00,22838,BANK,ICICI,6838,SALARY,FISERV,BANK-ICICI-6838,CR
92,2019-12-31 08:02:00,22630,BANK,ICICI,6838,SALARY,FISERV,BANK-ICICI-6838,CR
93,2020-10-09 13:35:00,21999,BANK,ICICI,6838,REFUND,AMAZON *20201009,BANK-ICICI-6838,CR
94,2020-10-09 13:24:00,21999,BANK,ICICI,6838,BILLS,A TO Z SOLUTION,BANK-ICICI-6838,DR
95,2021-04-08 22:42:00,20000,BANK,AXIS,7057,CREDIT,KULYASH S,BANK-AXIS-7057,CR
96,2019-04-17 07:57:00,20000,BANK,AXIS,7057,CREDIT,MANISH KUMAR GOYAL,BANK-AXIS-7057,CR
97,2019-06-05 19:23:00,20000,BANK,AXIS,7057,CREDIT,APOORV VE,BANK-AXIS-7057,CR
98,2020-09-08 13:26:00,19595,BANK,ICICI,6838,SHOPPING,AMAZON,BANK-ICICI-6838,DR
99,2019-08-30 11:42:00,19230,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
100,2019-09-30 10:53:00,19230,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
101,2020-04-30 10:01:00,19230,BANK,ICICI,6838,SALARY,FISERV,BANK-ICICI-6838,CR
102,2022-01-16 06:59:00,19199,CREDIT,ICICI,5001,EMI,AMAZON,CREDIT-ICICI-5001,DR
103,2022-02-04 12:35:00,18037,BANK,ICICI,6838,BILLS,CRED,BANK-ICICI-6838,DR
104,2022-09-03 20:08:00,17282,CREDIT,AXIS,2232,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-AXIS-2232,CR
105,2022-09-03 20:06:00,17282,BANK,ICICI,6838,BILLS,CRED,BANK-ICICI-6838,DR
106,2021-07-17 22:28:00,17102,CREDIT,AXIS,2232,FOOD & DRINKS,APPLE IPHONE CENTRE DELHI,CREDIT-AXIS-2232,DR
107,2022-08-05 13:46:00,17000,BANK,ICICI,6838,CREDIT,CREDIT,BANK-ICICI-6838,CR
108,2021-10-31 21:04:00,16890,CREDIT,AXIS,2232,FOOD & DRINKS,ITC MAURYA,CREDIT-AXIS-2232,DR
109,2022-11-08 00:30:00,16700,CREDIT,AXIS,6891,ENTERTAINMENT,BDAY - LOD,CREDIT-AXIS-6891,DR
110,2021-10-06 16:27:00,16609,CREDIT,ICICI,7008,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-ICICI-7008,CR
111,2022-05-09 07:38:00,16430,CREDIT,ICICI,5001,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-ICICI-5001,CR
112,2020-02-10 00:10:00,16000,BANK,AXIS,7057,CREDIT,ASHWIN SA,BANK-AXIS-7057,CR
113,2022-06-04 11:19:00,16000,BANK,PAYTM,7775,CREDIT,ARCHNA SIROHI,BANK-PAYTM-7775,CR
114,2022-02-20 15:46:00,15939,CREDIT,AXIS,6891,SHOPPING,DECATHLON,CREDIT-AXIS-6891,DR
115,2022-11-01 18:03:00,15773,CREDIT,AXIS,2232,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-AXIS-2232,CR
116,2022-10-31 14:28:00,15773,BANK,ICICI,6838,BILLS,CREDCLUB1,BANK-ICICI-6838,DR
117,2022-12-02 08:34:00,15595,CREDIT,AXIS,6891,SHOPPING,AMAZON,CREDIT-AXIS-6891,DR
118,2021-09-14 22:36:00,15500,BANK,AXIS,7057,CREDIT,KULYASH D,BANK-AXIS-7057,CR
119,2021-09-14 22:39:00,15499,CREDIT,ICICI,7008,SHOPPING,AMAZON,CREDIT-ICICI-7008,DR
120,2023-01-02 20:57:00,15218,BANK,ICICI,6838,BILLS,CREDCLUB1,BANK-ICICI-6838,DR
121,2022-11-04 11:00:00,15205,BANK,ICICI,6838,EMI,UPGRAD - PROPELLD,BANK-ICICI-6838,DR
122,2022-12-04 12:48:00,15205,BANK,ICICI,6838,BILLS,NET BANKING,BANK-ICICI-6838,DR
123,2023-01-04 13:06:00,15205,BANK,ICICI,6838,BILLS,NET BANKING,BANK-ICICI-6838,DR
124,2023-02-04 12:23:00,15205,BANK,ICICI,6838,BILLS,NET BANKING,BANK-ICICI-6838,DR
125,2022-08-08 06:01:00,15123,CREDIT,ICICI,5001,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-ICICI-5001,CR
126,2022-08-05 14:58:00,15113,BANK,ICICI,6838,BILLS,CRED,BANK-ICICI-6838,DR
127,2022-05-08 23:16:00,15000,BANK,AXIS,7057,TRAVEL,PAYTM,BANK-AXIS-7057,DR
128,2020-07-22 10:43:00,15000,BANK,AXIS,7057,CREDIT,HARSH CHO,BANK-AXIS-7057,CR
129,2023-01-05 15:14:00,15000,BANK,AXIS,7057,CREDIT,CREDIT,BANK-AXIS-7057,CR
130,2022-02-01 23:07:00,15000,BANK,ICICI,6838,CREDIT,PRIYANKA KUSHWAHA,BANK-ICICI-6838,CR
131,2022-10-26 13:37:00,15000,BANK,PAYTM,7775,BILLS,UPGRAD,BANK-PAYTM-7775,DR
132,2023-02-04 20:19:00,14100,BANK,ICICI,6838,SETTLEMENT,TUSHAR NARWAL,BANK-ICICI-6838,CR
133,2021-12-01 06:32:00,14047,CREDIT,ICICI,7008,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-ICICI-7008,CR
134,2019-04-17 08:26:00,14000,BANK,AXIS,7057,CREDIT,RAJIV SIROHI,BANK-AXIS-7057,CR
135,2023-02-04 20:22:00,14000,BANK,ICICI,6838,SETTLEMENT,SHAURYA BISHNOI,BANK-ICICI-6838,CR
136,2022-12-02 00:24:00,14000,BANK,PAYTM,7775,HEX,SHAURYA BISHNOI,BANK-PAYTM-7775,CR
137,2022-12-07 19:36:00,14000,BANK,PAYTM,7775,SETTLEMENT,TUSHAR NARWAL,BANK-PAYTM-7775,CR
138,2023-01-02 21:00:00,14000,BANK,PAYTM,7775,HEX,JAI SIROHI,BANK-PAYTM-7775,CR
139,2023-01-03 21:05:00,14000,BANK,PAYTM,7775,HEX,SHAURYA BISHNOI,BANK-PAYTM-7775,CR
140,2023-01-05 15:38:00,14000,BANK,PAYTM,7775,SETTLEMENT,TUSHAR NARWAL,BANK-PAYTM-7775,CR
141,2022-06-02 12:18:00,13994,CREDIT,AXIS,6891,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-AXIS-6891,CR
142,2022-03-01 15:30:00,13933,BANK,ICICI,6838,BILLS,CRED,BANK-ICICI-6838,DR
143,2022-07-03 10:46:00,13454,BANK,ICICI,6838,BILLS,CRED,BANK-ICICI-6838,DR
144,2022-10-06 22:19:00,13395,BANK,AXIS,7057,BILLS,CRED,BANK-AXIS-7057,DR
145,2022-10-06 22:21:00,13395,CREDIT,AXIS,2232,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-AXIS-2232,CR
146,2022-08-24 11:46:00,13315,CREDIT,AXIS,6891,TRAVEL,MAKEMYTRIP,CREDIT-AXIS-6891,DR
147,2022-12-08 12:59:00,13091,BANK,AXIS,7057,BILLS,BRN-CARD PAYMENT,BANK-AXIS-7057,DR
148,2022-12-09 02:00:00,13091,CREDIT,AXIS,2232,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-AXIS-2232,CR
149,2019-07-31 09:41:00,13027,BANK,ICICI,6838,SALARY,FISERV INDIA,BANK-ICICI-6838,CR
150,2022-11-06 15:22:00,13000,WALLET,WALLET,0000,SETTLEMENT,VG'S MONTHLY,WALLET-WALLET-0000,CR
151,2022-10-06 22:47:00,13000,BANK,PAYTM,7775,CREDIT,ARCHNA SIROHI,BANK-PAYTM-7775,CR
152,2022-11-08 14:31:00,13000,BANK,PAYTM,7775,SETTLEMENT,SHAURYA BISHNOI,BANK-PAYTM-7775,CR
153,2022-10-26 10:37:00,12798,CREDIT,AXIS,2232,EMI,S22 6/6 EMI,CREDIT-AXIS-2232,DR
154,2021-02-03 18:14:00,11937,BANK,ICICI,6838,SHOPPING,LIFE STYL,BANK-ICICI-6838,DR
155,2022-09-06 10:24:00,11651,CREDIT,ICICI,5001,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-ICICI-5001,CR
156,2022-09-03 16:28:00,11648,BANK,ICICI,6838,BILLS,CRED,BANK-ICICI-6838,DR
157,2022-10-07 07:30:00,11583,CREDIT,ICICI,7008,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-ICICI-7008,CR
158,2022-09-05 12:15:00,11565,BANK,AXIS,7057,ENTERTAINMENT,AAYUSH GU,BANK-AXIS-7057,DR
159,2022-09-21 12:48:00,11302,CREDIT,AXIS,6891,TRAVEL,GOIBIBO,CREDIT-AXIS-6891,DR
160,2022-09-21 12:55:00,11302,BANK,PAYTM,7775,CREDIT,KSHITIZ RAWAT,BANK-PAYTM-7775,CR
161,2022-02-26 10:48:00,11110,BANK,AXIS,7057,INVESTMENT,INDMONEY,BANK-AXIS-7057,DR
162,2019-10-07 18:54:00,11000,BANK,AXIS,7057,CREDIT,KUNAL CHA,BANK-AXIS-7057,CR
163,2022-11-07 12:20:00,11000,WALLET,WALLET,0000,CREDIT,MOM,WALLET-WALLET-0000,CR
164,2022-05-08 23:18:00,11000,WALLET,PAYTM,8676,MISC,PAYTM,WALLET-PAYTM-8676,DR
165,2021-06-02 23:50:00,10800,BANK,AXIS,7057,CREDIT,ANJANA DH,BANK-AXIS-7057,CR
166,2022-07-23 19:01:00,10764,CREDIT,ICICI,5001,SHOPPING,AMAZON,CREDIT-ICICI-5001,DR
167,2022-12-04 23:41:00,10500,BANK,AXIS,7057,SHOPPING,TO DEEPALI,BANK-AXIS-7057,DR
168,2019-10-13 20:29:00,10140,BANK,AXIS,7057,SHOPPING,PLANET SUPERHEROES,BANK-AXIS-7057,DR
169,2021-11-14 21:58:00,10007,BANK,AXIS,7057,SHOPPING,LIFE STYLE,BANK-AXIS-7057,DR
170,2021-08-11 22:21:00,10000,BANK,AXIS,7057,CREDIT,XXXPGN KO,BANK-AXIS-7057,CR
171,2021-08-14 09:28:00,10000,BANK,AXIS,7057,CREDIT,ARCHNA SI,BANK-AXIS-7057,CR
172,2022-04-02 16:48:00,10000,BANK,AXIS,7057,MISC,RD/922050052191190/JAI SIROHI,BANK-AXIS-7057,DR
173,2022-08-01 06:37:00,10000,BANK,AXIS,7057,INVESTMENT,RD/922050052191190/JAI SIROHI,BANK-AXIS-7057,DR
174,2022-10-01 07:49:00,10000,BANK,AXIS,7057,BILLS,RD/922050052191190/JAI SIROHI,BANK-AXIS-7057,DR
175,2022-11-01 08:19:00,10000,BANK,AXIS,7057,INVESTMENT,RD/922050052191190/JAI SIROHI,BANK-AXIS-7057,DR
176,2022-12-01 07:37:00,10000,BANK,AXIS,7057,INVESTMENT,RD/922050052191190/JAI SIROHI,BANK-AXIS-7057,DR
177,2023-01-02 07:45:00,10000,BANK,AXIS,7057,BILLS,RD/922050052191190/JAI SIROHI,BANK-AXIS-7057,DR
178,2023-02-02 05:51:00,10000,BANK,AXIS,7057,BILLS,RD/922050052191190/JAI SIROHI,BANK-AXIS-7057,DR
179,2020-02-11 22:37:00,10000,BANK,AXIS,7057,CREDIT,SHAURYA B,BANK-AXIS-7057,CR
180,2020-10-13 22:05:00,10000,BANK,AXIS,7057,CREDIT,MR KULYAS,BANK-AXIS-7057,CR
181,2022-09-06 14:37:00,10000,BANK,AXIS,7057,REFUND,CREDIT,BANK-AXIS-7057,CR
182,2022-02-20 19:17:00,10000,BANK,ICICI,6838,INVESTMENT,FINZOOMERS SERVICES PRIVA,BANK-ICICI-6838,DR
183,2022-03-22 11:48:00,10000,BANK,ICICI,6838,CREDIT,SHAURYA BISHNOI,BANK-ICICI-6838,CR
184,2022-12-08 14:26:00,10000,BANK,ICICI,6838,HEX,JAI SIROHI,BANK-ICICI-6838,CR
185,2022-12-08 14:33:00,10000,BANK,ICICI,6838,HEX,JAI SIROHI,BANK-ICICI-6838,CR
186,2023-01-02 21:03:00,10000,BANK,ICICI,6838,HEX,JAI SIROHI,BANK-ICICI-6838,CR
187,2022-06-02 12:24:00,10000,BANK,PAYTM,7775,CREDIT,JAI SIROHI,BANK-PAYTM-7775,CR
188,2022-10-26 13:05:00,10000,BANK,PAYTM,7775,CREDIT,ARCHNA SIROHI,BANK-PAYTM-7775,CR
189,2021-09-21 18:13:00,9930,BANK,AXIS,7057,SHOPPING,SITARAM STATIONERY,BANK-AXIS-7057,DR
190,2021-05-04 17:40:00,9908,BANK,AXIS,7057,INVESTMENT,ZANMAI LA,BANK-AXIS-7057,DR
191,2021-11-07 23:39:00,9796,CREDIT,AXIS,2232,FOOD & DRINKS,ZOMATO,CREDIT-AXIS-2232,DR
192,2020-02-10 11:16:00,9759,BANK,ICICI,6838,BILLS,NET BANKING,BANK-ICICI-6838,DR
193,2020-02-10 14:04:00,9759,BANK,ICICI,6838,BILLS,DEBIT,BANK-ICICI-6838,DR
194,2021-10-20 15:44:00,9697,BANK,AXIS,7057,CREDIT,MAYANK RU,BANK-AXIS-7057,CR
195,2021-10-20 15:44:00,9697,BANK,AXIS,7057,SHOPPING,MYNTRA,BANK-AXIS-7057,DR
196,2021-10-01 14:15:00,9690,CREDIT,ICICI,7008,HEALTH,"KAILASH HOSPITAL & NEURO INSTITUTE, SECTOR 71, NOIDA",CREDIT-ICICI-7008,DR
197,2022-10-31 15:41:00,9545,CREDIT,ICICI,7008,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-ICICI-7008,CR
198,2019-12-31 17:38:00,9500,BANK,ICICI,6838,CREDIT,SAXENAASHWIN@YBL,BANK-ICICI-6838,CR
199,2022-03-21 20:28:00,9299,CREDIT,ICICI,5001,SHOPPING,AMAZON,CREDIT-ICICI-5001,DR
200,2022-09-30 10:08:00,9147,BANK,ICICI,6838,CREDIT,KULYASH DAHIYA,BANK-ICICI-6838,CR
201,2022-10-25 18:03:00,9147,BANK,ICICI,6838,CREDIT,KULYASH DAHIYA,BANK-ICICI-6838,CR
202,2022-11-02 06:25:00,9147,BANK,ICICI,6838,SETTLEMENT,ACEREMI,BANK-ICICI-6838,CR
203,2022-12-02 06:49:00,9147,BANK,ICICI,6838,SETTLEMENT,ACEREMI,BANK-ICICI-6838,CR
204,2023-01-02 06:58:00,9147,BANK,ICICI,6838,CREDIT,CREDIT,BANK-ICICI-6838,CR
205,2023-02-02 06:20:00,9147,BANK,ICICI,6838,CREDIT,CREDIT,BANK-ICICI-6838,CR
206,2022-12-10 21:44:00,9061,CREDIT,AXIS,2232,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-AXIS-2232,CR
207,2020-07-07 17:04:00,9000,BANK,AXIS,7057,CREDIT,KUNAL CHA,BANK-AXIS-7057,CR
208,2022-03-04 11:51:00,9000,CREDIT,AXIS,6891,ENTERTAINMENT,SARISKA SAFARI,CREDIT-AXIS-6891,DR
209,2022-08-08 21:10:00,8794,CREDIT,AXIS,6891,TRAVEL,TRIPOFFBEAT,CREDIT-AXIS-6891,DR
210,2019-12-09 05:48:00,8643,BANK,AXIS,7057,SHOPPING,FLIPKART,BANK-AXIS-7057,DR
211,2022-04-03 13:05:00,8642,CREDIT,ICICI,5001,BILL PAYMENT,CREDIT CARD BILL PAYMENT,CREDIT-ICICI-5001,CR
212,2021-02-08 08:49:00,8609,BANK,ICICI,6838,BILLS,NET BANKING,BANK-ICICI-6838,DR
213,2021-02-08 09:43:00,8609,BANK,ICICI,6838,BILLS,DEBIT,BANK-ICICI-6838,DR
214,2022-04-07 20:58:00,8565,BANK,ICICI,6838,BILLS,BILLDESKTEZ,BANK-ICICI-6838,DR
215,2020-07-05 15:50:00,8500,BANK,ICICI,6838,MISC,SK3768283@OKAXIS,BANK-ICICI-6838,DR
216,2022-07-29 13:47:00,8493,BANK,AXIS,7057,MISC,KAVITA YA,BANK-AXIS-7057,DR
217,2022-09-12 20:00:00,8459,CREDIT,ICICI,7008,TRAVEL,MAKEMYTRIP,CREDIT-ICICI-7008,DR
218,2020-12-20 07:23:00,8434,BANK,AXIS,7057,MISC,ASHWIN SA,BANK-AXIS-7057,DR
219,2021-12-21 12:12:00,8341,BANK,ICICI,6838,BILLS,"CRED, CREDIT BILL PAYMENT",BANK-ICICI-6838,DR
220,2021-12-21 12:10:00,8341,BANK,ICICI,6838,REFUND,MYNTRA,BANK-ICICI-6838,CR
221,2021-12-21 12:05:00,8341,CREDIT,ICICI,7008,SHOPPING,MYNTRA,CREDIT-ICICI-7008,DR
